ra,dec,x_image,y_image,mjd,flux_bkg,local_bkg_flg,flags,fit_ql,deep_flg,det_id,lvf_id,obs_publisher_did,lambda,lambda_width,flux,flux_err
217.51,56.99,1500.0,1300.0,60700.0,0.16,False,2097152,1.05,False,1,202000000000000,ivo://example/spherex?gal_0001_0_0,0.76,0.025,541.3912,32.6885
217.51,56.99,1501.0,1301.0,60701.0,0.16,False,2097152,1.05,False,2,202000000000000,ivo://example/spherex?gal_0001_0_1,0.76,0.025,550.3189,32.6885
217.51,56.99,1502.0,1302.0,60702.0,0.16,False,2097152,1.05,False,3,202000000000000,ivo://example/spherex?gal_0001_0_2,0.76,0.025,522.6419,32.6885
217.51,56.99,1500.0,1300.0,60700.5,0.16,False,2097152,1.05,False,1,202000000000001,ivo://example/spherex?gal_0001_1_0,0.82172,0.025,674.6259,41.0919
217.51,56.99,1501.0,1301.0,60701.5,0.16,False,2097152,1.05,False,2,202000000000001,ivo://example/spherex?gal_0001_1_1,0.82172,0.025,709.5821,41.0919
217.51,56.99,1502.0,1302.0,60702.5,0.16,False,2097152,1.05,False,3,202000000000001,ivo://example/spherex?gal_0001_1_2,0.82172,0.025,772.1878,41.0919
217.51,56.99,1500.0,1300.0,60701.0,0.16,False,2097152,1.05,False,1,202000000000002,ivo://example/spherex?gal_0001_2_0,0.88345,0.025,692.2702,43.9503
217.51,56.99,1501.0,1301.0,60702.0,0.16,False,2097152,1.05,False,2,202000000000002,ivo://example/spherex?gal_0001_2_1,0.88345,0.025,774.2439,43.9503
217.51,56.99,1502.0,1302.0,60703.0,0.16,False,2097152,1.05,False,3,202000000000002,ivo://example/spherex?gal_0001_2_2,0.88345,0.025,720.536,43.9503
217.51,56.99,1500.0,1300.0,60701.5,0.16,False,2097152,1.05,False,1,202000000000003,ivo://example/spherex?gal_0001_3_0,0.94517,0.025,828.2506,47.9201
217.51,56.99,1501.0,1301.0,60702.5,0.16,False,2097152,1.05,False,2,202000000000003,ivo://example/spherex?gal_0001_3_1,0.94517,0.025,749.7905,47.9201
217.51,56.99,1502.0,1302.0,60703.5,0.16,False,2097152,1.05,False,3,202000000000003,ivo://example/spherex?gal_0001_3_2,0.94517,0.025,877.877,47.9201
217.51,56.99,1500.0,1300.0,60702.0,0.16,False,2097152,1.05,False,1,202000000000004,ivo://example/spherex?gal_0001_4_0,1.0069,0.025,830.8508,52.6889
217.51,56.99,1501.0,1301.0,60703.0,0.16,False,2097152,1.05,False,2,202000000000004,ivo://example/spherex?gal_0001_4_1,1.0069,0.025,882.8959,52.6889
217.51,56.99,1502.0,1302.0,60704.0,0.16,False,2097152,1.05,False,3,202000000000004,ivo://example/spherex?gal_0001_4_2,1.0069,0.025,802.6298,52.6889
217.51,56.99,1500.0,1300.0,60702.5,0.16,False,2097152,1.05,False,1,202000000000005,ivo://example/spherex?gal_0001_5_0,1.06862,0.025,1017.3119,61.333
217.51,56.99,1501.0,1301.0,60703.5,0.16,False,2097152,1.05,False,2,202000000000005,ivo://example/spherex?gal_0001_5_1,1.06862,0.025,1063.5774,61.333
217.51,56.99,1502.0,1302.0,60704.5,0.16,False,2097152,1.05,False,3,202000000000005,ivo://example/spherex?gal_0001_5_2,1.06862,0.025,1055.3515,61.333
217.51,56.99,1500.0,1300.0,60703.0,0.16,False,2097152,1.05,False,1,202000000000006,ivo://example/spherex?gal_0001_6_0,1.13034,0.025,1168.424,67.2217
217.51,56.99,1501.0,1301.0,60704.0,0.16,False,2097152,1.05,False,2,202000000000006,ivo://example/spherex?gal_0001_6_1,1.13034,0.025,1176.9085,67.2217
217.51,56.99,1502.0,1302.0,60705.0,0.16,False,2097152,1.05,False,3,202000000000006,ivo://example/spherex?gal_0001_6_2,1.13034,0.025,1079.387,67.2217
217.51,56.99,1500.0,1300.0,60715.0,0.16,False,2097152,1.05,False,1,202000000000030,ivo://example/spherex?gal_0001_30_0,2.7,0.09,889.1164,49.3583
217.51,56.99,1501.0,1301.0,60716.0,0.16,False,2097152,1.05,False,2,202000000000030,ivo://example/spherex?gal_0001_30_1,2.7,0.09,771.496,49.3583
217.51,56.99,1502.0,1302.0,60717.0,0.16,False,2097152,1.05,False,3,202000000000030,ivo://example/spherex?gal_0001_30_2,2.7,0.09,855.5354,49.3583
217.51,56.99,1503.0,1303.0,60718.0,0.16,False,2097152,1.05,False,4,202000000000030,ivo://example/spherex?gal_0001_30_3,2.7,0.09,796.0317,49.3583
217.51,56.99,1500.0,1300.0,60715.5,0.16,False,2097152,1.05,False,1,202000000000031,ivo://example/spherex?gal_0001_31_0,2.86923,0.09,634.1885,42.5717
217.51,56.99,1501.0,1301.0,60716.5,0.16,False,2097152,1.05,False,2,202000000000031,ivo://example/spherex?gal_0001_31_1,2.86923,0.09,743.1553,42.5717
217.51,56.99,1502.0,1302.0,60717.5,0.16,False,2097152,1.05,False,3,202000000000031,ivo://example/spherex?gal_0001_31_2,2.86923,0.09,721.5816,42.5717
217.51,56.99,1503.0,1303.0,60718.5,0.16,False,2097152,1.05,False,4,202000000000031,ivo://example/spherex?gal_0001_31_3,2.86923,0.09,715.0551,42.5717
217.51,56.99,1500.0,1300.0,60716.0,0.16,False,2097152,1.05,False,1,202000000000032,ivo://example/spherex?gal_0001_32_0,3.03846,0.09,643.0949,41.6504
217.51,56.99,1501.0,1301.0,60717.0,0.16,False,2097152,1.05,False,2,202000000000032,ivo://example/spherex?gal_0001_32_1,3.03846,0.09,713.7487,41.6504
217.51,56.99,1502.0,1302.0,60718.0,0.16,False,2097152,1.05,False,3,202000000000032,ivo://example/spherex?gal_0001_32_2,3.03846,0.09,654.3045,41.6504
217.51,56.99,1503.0,1303.0,60719.0,0.16,False,2097152,1.05,False,4,202000000000032,ivo://example/spherex?gal_0001_32_3,3.03846,0.09,746.3598,41.6504
217.51,56.99,1500.0,1300.0,60716.5,0.16,False,2097152,1.05,False,1,202000000000033,ivo://example/spherex?gal_0001_33_0,3.20769,0.09,678.471,40.0062
217.51,56.99,1501.0,1301.0,60717.5,0.16,False,2097152,1.05,False,2,202000000000033,ivo://example/spherex?gal_0001_33_1,3.20769,0.09,659.4542,40.0062
217.51,56.99,1502.0,1302.0,60718.5,0.16,False,2097152,1.05,False,3,202000000000033,ivo://example/spherex?gal_0001_33_2,3.20769,0.09,664.9485,40.0062
217.51,56.99,1503.0,1303.0,60719.5,0.16,False,2097152,1.05,False,4,202000000000033,ivo://example/spherex?gal_0001_33_3,3.20769,0.09,644.6059,40.0062
217.51,56.99,1500.0,1300.0,60717.0,0.16,False,2097152,1.05,False,1,202000000000034,ivo://example/spherex?gal_0001_34_0,3.37692,0.09,593.5532,38.736
217.51,56.99,1501.0,1301.0,60718.0,0.16,False,2097152,1.05,False,2,202000000000034,ivo://example/spherex?gal_0001_34_1,3.37692,0.09,670.5654,38.736
217.51,56.99,1502.0,1302.0,60719.0,0.16,False,2097152,1.05,False,3,202000000000034,ivo://example/spherex?gal_0001_34_2,3.37692,0.09,616.3761,38.736
217.51,56.99,1503.0,1303.0,60720.0,0.16,False,2097152,1.05,False,4,202000000000034,ivo://example/spherex?gal_0001_34_3,3.37692,0.09,573.8434,38.736
217.51,56.99,1500.0,1300.0,60717.5,0.16,False,2097152,1.05,False,1,202000000000035,ivo://example/spherex?gal_0001_35_0,3.54615,0.09,591.922,38.3017
217.51,56.99,1501.0,1301.0,60718.5,0.16,False,2097152,1.05,False,2,202000000000035,ivo://example/spherex?gal_0001_35_1,3.54615,0.09,682.2551,38.3017
217.51,56.99,1502.0,1302.0,60719.5,0.16,False,2097152,1.05,False,3,202000000000035,ivo://example/spherex?gal_0001_35_2,3.54615,0.09,639.7797,38.3017
217.51,56.99,1503.0,1303.0,60720.5,0.16,False,2097152,1.05,False,4,202000000000035,ivo://example/spherex?gal_0001_35_3,3.54615,0.09,568.9405,38.3017
217.51,56.99,1500.0,1300.0,60718.0,0.16,False,2097152,1.05,False,1,202000000000036,ivo://example/spherex?gal_0001_36_0,3.71538,0.09,649.091,37.3358
217.51,56.99,1501.0,1301.0,60719.0,0.16,False,2097152,1.05,False,2,202000000000036,ivo://example/spherex?gal_0001_36_1,3.71538,0.09,547.7735,37.3358
