ra,dec,x_image,y_image,mjd,flux_bkg,local_bkg_flg,flags,fit_ql,deep_flg,det_id,lvf_id,obs_publisher_did,lambda,lambda_width,flux,flux_err
217.44,56.95,1500.0,1300.0,60700.0,0.16,False,2097152,1.05,False,1,202000000000000,ivo://example/spherex?gal_0003_0_0,0.76,0.025,1110.9423,72.9637
217.44,56.95,1501.0,1301.0,60701.0,0.16,False,2097152,1.05,False,2,202000000000000,ivo://example/spherex?gal_0003_0_1,0.76,0.025,1190.0733,72.9637
217.44,56.95,1502.0,1302.0,60702.0,0.16,False,2097152,1.05,False,3,202000000000000,ivo://example/spherex?gal_0003_0_2,0.76,0.025,1292.9594,72.9637
217.44,56.95,1500.0,1300.0,60700.5,0.16,False,2097152,1.05,False,1,202000000000001,ivo://example/spherex?gal_0003_1_0,0.82172,0.025,1504.038,89.4235
217.44,56.95,1501.0,1301.0,60701.5,0.16,False,2097152,1.05,False,2,202000000000001,ivo://example/spherex?gal_0003_1_1,0.82172,0.025,1647.2748,89.4235
217.44,56.95,1502.0,1302.0,60702.5,0.16,False,2097152,1.05,False,3,202000000000001,ivo://example/spherex?gal_0003_1_2,0.82172,0.025,1462.1603,89.4235
217.44,56.95,1500.0,1300.0,60701.0,0.16,False,2097152,1.05,False,1,202000000000002,ivo://example/spherex?gal_0003_2_0,0.88345,0.025,1489.9685,96.6315
217.44,56.95,1501.0,1301.0,60702.0,0.16,False,2097152,1.05,False,2,202000000000002,ivo://example/spherex?gal_0003_2_1,0.88345,0.025,1546.5705,96.6315
217.44,56.95,1502.0,1302.0,60703.0,0.16,False,2097152,1.05,False,3,202000000000002,ivo://example/spherex?gal_0003_2_2,0.88345,0.025,1596.8998,96.6315
217.44,56.95,1500.0,1300.0,60701.5,0.16,False,2097152,1.05,False,1,202000000000003,ivo://example/spherex?gal_0003_3_0,0.94517,0.025,1703.5551,103.7975
217.44,56.95,1501.0,1301.0,60702.5,0.16,False,2097152,1.05,False,2,202000000000003,ivo://example/spherex?gal_0003_3_1,0.94517,0.025,1873.8791,103.7975
217.44,56.95,1502.0,1302.0,60703.5,0.16,False,2097152,1.05,False,3,202000000000003,ivo://example/spherex?gal_0003_3_2,0.94517,0.025,1809.9239,103.7975
217.44,56.95,1500.0,1300.0,60702.0,0.16,False,2097152,1.05,False,1,202000000000004,ivo://example/spherex?gal_0003_4_0,1.0069,0.025,1820.1801,115.2074
217.44,56.95,1501.0,1301.0,60703.0,0.16,False,2097152,1.05,False,2,202000000000004,ivo://example/spherex?gal_0003_4_1,1.0069,0.025,2071.4987,115.2074
217.44,56.95,1502.0,1302.0,60704.0,0.16,False,2097152,1.05,False,3,202000000000004,ivo://example/spherex?gal_0003_4_2,1.0069,0.025,2021.3883,115.2074
217.44,56.95,1500.0,1300.0,60702.5,0.16,False,2097152,1.05,False,1,202000000000005,ivo://example/spherex?gal_0003_5_0,1.06862,0.025,2183.6495,131.3749
217.44,56.95,1501.0,1301.0,60703.5,0.16,False,2097152,1.05,False,2,202000000000005,ivo://example/spherex?gal_0003_5_1,1.06862,0.025,1980.2323,131.3749
217.44,56.95,1502.0,1302.0,60704.5,0.16,False,2097152,1.05,False,3,202000000000005,ivo://example/spherex?gal_0003_5_2,1.06862,0.025,2037.6285,131.3749
